id,label
57382,1
96137,1
43157,1
73851,0
10542,1
79142,1
4973,1
28791,0
98541,1
68743,0
92853,0
48536,1
94365,0
49031,1
95813,1
15327,1
19870,0
97642,0
1735,1
64357,1
37916,1
54316,0
51934,1
29637,0
49873,0
81926,1
98143,1
12367,0
67410,1
18506,1
5827,1
23765,0
10973,1
30476,1
84135,0
60972,1
13574,1
61924,1
36170,0
97651,1
78495,1
74895,1
58407,1
49306,0
76492,1
94051,1
35261,0
14785,1
72645,1
8514,1
18702,1
69702,1
38762,1
25460,0
43950,0
45082,0
21380,1
95203,1
37962,1
87432,0
18953,1
28164,1
59814,0
1723,1
98604,1
27305,0
10537,0
18795,1
32856,1
86572,0
93526,0
98321,1
7642,1
70645,1
72401,0
16803,0
57641,0
26013,0
54260,0
10784,1
43276,1
97615,0
93624,1
9175,1
97624,1
85943,0
98156,1
84973,0
48105,1
3612,1
51926,0
26915,1
49713,1
20316,1
74580,1
12930,0
84730,1
82903,1
58613,1
84750,1
85071,1
26837,1
98013,0
78016,1
86052,1
93284,1
70293,1
92607,1
6154,1
91365,1
97012,0
96057,0
80631,1
45270,0
37950,0
12765,1
47652,1
69820,1
73825,1
87945,1
79160,1
70394,1
58364,1
60574,0
48016,0
83567,0
65372,1
96725,1
9632,1
48160,1
68923,1
85796,0
59763,1
23801,1
68957,1
60783,0
59420,0
27154,1
45163,0
36927,1
71563,0
98015,1
35806,0
87156,1
90275,1
26731,1
27805,0
65107,0
81647,1
37095,1
12065,0
90726,1
59642,1
29645,0
79435,0
79432,1
54187,0
2564,1
72563,1
68915,0
10837,0
69731,1
63082,0
95876,1
83470,1
24301,1
41930,1
2436,1
97263,0
2934,1
51806,1
14582,0
34261,0
98602,0
56810,0
19682,1
5627,1
50284,1
54012,1
73964,1
94861,1
62415,0
41207,0
89345,0
27961,1
27654,1
59063,1
80275,1
91427,1
74365,0
9537,1
58694,1
47210,1
36792,1
4293,1
18792,1
62174,1
3926,0
25896,0
62107,1
20846,0
21597,1
18043,1
94217,0
54287,1
32657,1
13782,0
19780,1
50912,0
29481,1
80546,1
20831,1
7213,1
15302,0
40536,0
81276,1
17934,0
9786,1
34502,1
93045,0
20674,1
69570,1
9256,0
42571,1
23105,1
28097,1
52860,1
75240,1
19257,1
52894,1
82057,1
30765,1
78502,0
23706,0
85306,1
32904,1
58317,0
4386,0
3587,1
29316,1
27450,1
70341,1
15392,0
93517,0
16375,1
5763,1
86930,1
59214,1
63142,0
64537,1
30915,1
37810,1
92561,0
81930,0
71032,1
20975,1
75926,0
95362,0
16804,1
92074,1
48251,1
95213,0
47912,0
93167,1
89241,1
68541,0
36195,0
53462,1
53872,0
92843,1
15637,1
65482,1
17036,1
27510,1
25974,1
38524,1
57614,1
54693,0
49782,0
96215,1
53067,0
53094,1
13706,0
67490,0
13540,0
59874,1
98513,1
2957,0
19264,1
91824,1
31587,0
91805,1
69743,1
30281,0
73916,1
51346,1
50731,0
52397,0
12806,1
62740,1
21694,1
6731,1
27145,0
20341,0
84092,0
64257,0
35947,1
71094,1
53871,0
50374,1
67234,0
30127,1
13724,1
97246,1
45791,1
31592,0
93754,0
59836,1
86235,1
83106,0
90713,1
25931,0
97062,0
90682,0
20941,1
65802,1
54863,1
3526,1
95321,1
65430,0
32791,1
32690,1
49567,0
12960,1
67825,1
67324,1
14762,1
37482,1
70641,1
38125,0
97063,1
19627,1
28165,1
54391,1
4317,1
35726,1
97621,1
74896,0
87563,1
39820,1
95237,1
65347,1
13572,1
80524,1
73140,0
78643,0
65401,1
6432,1
36051,0
89624,1
36752,1
52806,1
86952,1
49180,1
46802,0
94601,1
89476,1
32857,1
39274,1
18647,1
8145,1
94782,0
5962,1
28407,1
69824,0
49052,0
32761,0
73802,1
42605,1
94012,0
28394,1
24163,1
7913,1
80526,1
92517,1
75631,0
86137,1
68295,1
28916,0
2417,1
12350,1
52163,0
57240,0
78146,1
62513,0
83294,1
86904,1
76942,1
39657,0
9317,0
58063,0
18023,1
21037,1
35704,1
41627,0
27456,1
45621,1
37890,0
65927,0
32964,1
60821,1
29607,0
65937,0
76490,1
94803,0
42305,0
31250,1
36194,1
42567,0
75431,1
82574,0
7524,1
5983,1
96753,0
73054,1
84657,0
67025,1
78962,1
24890,0
75246,1
62907,1
17263,1
62143,0
92084,0
56491,1
1926,1
59604,0
1567,1
84903,1
16745,0
32604,1
49602,1
93810,0
62150,0
24360,1
93254,0
21683,1
58142,0
78026,0
30495,1
23516,0
48063,1
37941,1
71543,1
92346,0
35401,0
45367,1
71965,1
94163,1
43925,0
54836,1
71983,1
92584,1
61074,1
96425,1
91870,0
92631,1
89351,1
93106,1
63270,1
45913,0
81460,1
8346,1
94753,1
28543,0
58394,1
28356,0
16382,1
86430,1
4897,1
16385,1
1674,1
45682,1
92386,0
18075,1
5192,0
93784,1
18054,1
18250,1
62394,1
98120,1
38917,1
31427,1
12980,0
90185,1
82360,1
93486,0
20796,0
30594,0
63287,0
29465,1
64951,1
